Descrição
FORMAO OLHO DE TIGRE CHAFRADO 3/8 POL 10 MM EMBO 245059 MTX.. MTX
FRESA ACO RAPIDO 5MM 4 CORTES LONGA HSS HT
LUVA PROT MEC VAQ T M VT220
"CONDULETE AL T 1"" S/R NAT S/TP S/V S/PINT 56106313 - TRAMONTINA ELETRICA 56117007"
CORREIAS-PHG SPC11200 SKF
"Soquete Impacto Sextavado 15mm Encx 1/2"""" Branco 720MC BETA 007202015 BETA"
ACESSORIO FRONTAL MONOBL ANTIVANDALISMO 1 BOT INOX 333114
"Redução com Rosca 1.1/2"" x 1"" 56124/009 TRAMONTINA ELETRIK 56124009 TRAMONTINA ELETRIK"
Adesivo Instantâneo Super Cola Universal 5g 20611003302 TEKBOND 000000069957326446 TEKBOND
FRONT BOT ILUM RED VD 22MM A22RLTRGN 
HASTE 9X9MM COMPR. 50MM P/REL. APAL. S.513 953.638 MITUTOYO
CONVERSOR SINAL MINI 24V MCR-SL-U-U
MODULO TOMADA 1 MOD BR 2P+T 10A 250V BA PLUS+ 615038BC PIAL LEGRAND
"RODO ALUMINIO 100CM CABO 1,50M EM ALUMINIO RODOS 2000"
PRENDEDOR JACARE P/CRACHA FOSCO PT/100 MARES
S8 SUP W10-8PQ9157-7AA20
DISCO ACABAMENTO AMF 50MM SF ROLOC H0001496647 - 3M
PLACA REDONDA 3+3 POSTOS 4X4 SKY - PIAL LNB4826TS
"Soquete Estriado em aço Cromo Vanádio 9 mm - Encaixe 1/2"" 44833/109 TRAMONTINA PRO 44833109 TRAMONTINA PRO"
"Chave Catraca Redonda Reversível 3/8"" 203mm Trabalho em Altura 44395/007 TRAMONTINA PRO 44395007 TRAMONTINA PRO"
"Esmerilhadeira Angular 5"" 2 Baterias 18V Carregador Bivolt e Maleta PTFL-7037K PUMA PTFL-7037K PUMA"
TAMPA PAINEL MOD AC CZ CL 400X225X25MM 8PQ20224BA01 - SIEMENS  8PQ20224BA01
"MACHO MÁQUINA M4 X 0,7 ESPECÍFICO P/ALUMÍNIO DIN371 SFT-AL 169 OSG"
Fusível NH 1 GL/GG Retardado 160A 120KA em 500VCA 3NA7136 SIEMENS 3NA7136 SIEMENS
PAQUIMETRO DIGITAL 40  1000MM SERV. PESADO 100.182 DIGIMESS
DISPENSER P/ SABONETE LIQUIDO C/RESERVATORIO 900ML J8 -ABS JSN
SERRA COPO AÇO INOX 35MM  HEAVY DUTY
FITA ADESIVA EMPAC PP TRANSP 48MMX 50M TARTAN HB004741144 - 3M 7018716
CHAVE COMB ACRV 8MM X8MM X125MM 1B-8MM - GEDORE 1B8MM
"PARTIDA 3RM1 DIR SAFETY 1,6-7A PARAF"
BARRAMENTO ELET N 12F 100A 12X16MM2 AZ 928051 - CEMAR LEGRAND
SOQUETE ALLEN 1/2  X 9MM DE IMPACTO 016.261 / 080.143 GEDORE
SACA POLIA HIDR 3 GARRAS ARTIC 180MM 8567 H - GEDORE 8567H
SERRA FITA P/ MADEIRA WPP 10 X 4/P  (ROLO PROD.) STARRETT
RETENTOR-19993 SKF
RETENTOR-110X130X12 HMSA10 RG SKF
TRILHO DIN 24 MOD GEMINI 4-5 1SL0292A00
PISTOLA ALTA PRODUCAO 1000ML CH PP-12 CHIAPERINI. CHIAPERINI
AS 168 68X1154MM AF ASTER SL LUMINARIA LED BRC NEUTRO 07542
"SERRA FITA BIMET INTENSS 27X0,9MM 10-14DPP 4,48M IT27X10-14* STARRETT IT27X10-14/S-4,48"
COMUTADOR KNOB LG 2POS  PT 22MM 60G 2NA+2NF NKP260/01+B22
"MACHO MN 352 M M22 X 2,5MM HSS 3PCS E100M22NO8 DORMER"
ANEL PADRAO DE 300MM 177-312 MITUTOYO
PONTA MONTADA B-70  PM B-70 DRV
ALICATE CORTE DIAGONAL 44002/106 TRAMONTINA. TRAMONTINA
"GERADOR DE ENERGIA REFRIGERADO A ÁGUA TD25SGE3  4T 27,5KVA PARTIDA ELÉTRICA TOYAMA"
BROCA HELIC HSS/CO BRI CIL 18X 191MM A90018.0 DORMER
PLUGUE IND MOV MACHO PA 3P+T 16A 690V PT N4075
KIT CAIXA LIGACAO 63-100 W22 15118630
JOGO DE CHAVE TORX VERIFICADOR PLASTICO 024.700 GEDORE
PROJETOR MODULAR LED - 5.000K - LENTE 90º - BIVOLT
Rebolo Copo Cônico 75mm x 50mm Grão 120 M14 G-120 62114 CORTAG 62114 CORTAG
MARTELETE ELET 220V 1700W SDS MAX GBH 12-52 D BOSCH
PLUGUE IND SOB FEM 2P+T 32A 380-440V VM SN3279 STECK
DISJUNTOR CAIXA MOLDADA TRIPOLAR 25A 36KA 380/415V 50/60HZ
"Motor para Roçadeira à Gasolina 2 Tempos 1,7HP 42,7CC RPG 427 MGP 427 VONDER 6805000427 VONDER"
Serra Copo Bimetal 57mm Variavel DCH0214-G STARRETT DCH0214-G STARRETT
INTERRUPTOR UNIP 15A 14101 N1FB2FE3Q
INTTR MECANICO 3TX7466-1XA1
FITA ROTULADORA BROTHER 24MMX8M AMARELA ESCRITA PRETA TZE651
CORREIAS-PHG 3V800X5 SKF
PLACA COMUNIC VW3A3422 VW3A3422 - SCHNEIDER
DISJUNTOR MOTOR 3P 30-36A 690V S2 3RV20314PA10 SIEMENS
ELEMENTO FILTRO SEPARADOR 6X22 PARA COMBUSTÍVEL DE AVIAÇÃO - FACET SS622FB-5 - EI 1581
"TALHA MANUAL 5,0 TON ELEVACAO 3MT 61 43 050 030 VONDER"
FRESA DE BORDA DIAMETRO 1/4  HASTE 1/4  D-49806
R07200080 CH COMB C/CATRACA REVERSIVEL 8MM GEDORE RED.. RED
LAVADORA ALTA PRESSAO PW-C22 MONO 220V 2000W IDAF94395 IPC. IPC
PINCEL ESCOLAR 473 REDONDO CURTO 02 CONDOR
CHAVE FIM CURSO ACIONAMENTO TIPO ROLETE R50 WLCA2-7
Moto Esmeril e Lixadeira de Cinta 370W 2 em 1 110V MLV 370 6001370127 VONDER 6001370127 VONDER
"Moto Esmeril de Bancada 5"" 1CV Monofásico Bivolt 42400150 TRAMONTINA MASTER 42400150 TRAMONTINA MASTER"
LAPISEIRA 07 MB BLS C/2 MOLIN 13922 WW
SOQUETE 1/2  X 19MM DE IMPACTO SEXTAVADO 019.014 GEDORE
RETENTOR-23654 SKF
LAMPADA FLUOR TUB T10 5000K G13 40W T1040W/75750 PHILIPS
RELE SEG EXTENSAO 115-230V PARAF 4NA+1NF
FITA ADESIVA DUPLA FACE ESP ACR BR 19MMX 33M VHB-4970 HB004 3M HB004671119
"Soquete de Impacto Sextavado em aço Cromo Molibdênio 2.1/4"" - Encaixe 1'' 44918/023 TRAMONTINA PRO 44918023 TRAMONTINA PRO"
"SENSOR INDU MET 1,5MM SL1,58G1LPA"
MANTA REPARO COBERT CABO BORR-EPR 70-185MM 35KV HB004208078 HB004208078 - 3M
S8 SUPORTE 8PQ9143-1AA62
CARRO PLATAFORMA ACO 800KG 1500X800X446MM PNEUM TM-15 MARCON
BARRA CAST/COCO 25G VEGANO S/GLUTEN BANANA BRASIL
ESTUFA ELETRODO 220V 120G 10KG ECG10-220V CARBOGRAFITE
MOTOR 3F 8P 0.16CV 71 380/660 B3D IP55 WFF2 IE2 11742459
LUVA LARANJA SANRO PLUS - TAM. M
Calibrador de Boca Ajustável sem Relógio com Alavanca de Acionamento 0 a 40mm 132.010D DIGIMESS 87061 DIGIMESS
JOGO DE SOQUETE TORX ENC. 1/2  E10 A E24 (8PÇS) TRAMONTINA
"CALIBRADOR DE FOLGA EM LAMINA 300 X 0,40MM 600.042 KINGTOOLS"
CHAVE COMBINADA 5/16 42245/101 TRAMONTINA. TRAMONTINA
"CHAVE AJUSTAVEL 18MM 6"" A.FAISC 44207006 TRAMONTINA GARIBALDI"
ROLAMENTO AUTOCOMPENSADOR DE ROLOS-231/500 CA/W33 SKF
"CALIBRADOR DE FOLGA EM LAMINA 12  X 1/2  X 0,001  667-1 STAR"
ROLAMENTO DE ROLOS CILINDRICOS-NU 2240 ECML/C3 SKF
ROLAMENTO DE AGULHA-K 18X24X12 SKF
BOTAO DUP VD/VM 22MM CLBD1403/05+CLP101+CLP110+C
IMPLEMENTO HT - KA MOTOPODA 1/4 30CM 12  71PM3 STIHL *
SINALEIRO RED METAL VD 22MM 125V LED VZ222+L001+S7LS/15125V*
SENSOR CAPAC 32MM 30MM CC  CA NF M12 CS3032P70UFJV1EX
"Cabeça 16mm de Chave Fixa 13/16"" para Torquímetro Estalo 8791-13/16 GEDORE 048483 GEDORE"
SUPORTE PARA EXTRACAO EXTERNA 1.40/5 040.952 GEDORE
LUVA SOLDADOR AZUL CANO LONGO 342 GALZER. GALZER
Alargador Manual HSS 20.00mm Canal Helicoidal Din 206B 206200 HEINZ 206200 HEINZ
LONA POLIETILENO LARANJA 8 X 5M 6168085000 NOVE54. VONDER
"PLACA 3+3 POSTOS 4X4"" BR PLUS+ 618516BC - PIAL LEGRAND"
ALICATE BOMBA D'AGUA 10  1571855 SPARTA
TRANSF CORRENTE ENROLAD TAB-40 15/5
SOQUETE SEXT DE IMPACTO 10MM CRMO 1/2 1320155 STELS. STELS
CHAVE DE GARRAS P/ PORCA AMORTECEDOR TEMPRA 143343 RAVEN
DESEMPENO DE GRANITO 1000 X 750 X 150 517-307MSZ MITUTOYO
Resistência para Aquecedor Versátil 110V 5.500W 755-E LORENZETTI 7589055 LORENZETTI
DISJUNTOR CAIXA MOLDADA TRIPOLAR 100A 18KA 380/415V 50/60HZ
ROLAMENTO DE PRECISÃO-7030 CD/P4ADBB SKF
LUMINARIA REFLETOR LED RETANG SOBREPOR PT 30W BIVOLT 5000K LUZ DO DIA 3600LM DI
BOTAO COG 36MM VM 22MM 1NA+1NF EZ236/03+B11
Gancho Esticador m5 Zincado Rosca Esquerda 8003ZS ROBUR 080030305 ROBUR
LIXADEIRA ORBTIAL 1/4 DE FOLHA 240W 127V WS4151U WESCO
APLICADOR FITA ADESIVA 50MM AFA-050 WESTERN
CHAVE FIXA 10 X 11MM FOSFATIZADO 1432255 SPARTA. SPARTA
FRONTAL CLB2/15 + CLP110 + CLP001 + S1LS/15 220V 14624915
CAIXA PASSAGEM SOB CZ MONT EM/REARME 14403094
"ARCO SERRA FIXO 12"" AC ESP FECHAD 403 - GEDORE"
Talhadeira para Martelo SDS Plus 20x250mm 2608690144 BOSCH 2608690144000 BOSCH
Conjunto 4x2 - 1 Pulsador Campainha 10a 250v~ 57170/007 ELETRIK 57170007 TRAMONTINA ELETRIK
CHAVE COMBINADA COM CATRACA DE 8MM ST43201ST SATA
"CAIXA DERIV MULT CZ TIPO X 2.1/2"" C/ 2 TPOES, E002400080"
FILTRO DE LINHA 5 TOMADA BRANCO SLIM 500017 FORCE LINE
SABRE P/ MOTOSSERRA 25  (MS650/660/460) STIHL  3003-001-5631
Graxa Branca Spray 300ml/200g Lítio 5986113015 5986113015 WURTH
GRAMPEADOR GRAMPO 90 ATE 40MM PRO-348 PDR PRO
SACO DE LIXO 100L PRETO 8MC C/100 ULTRA PACK
CHAVE COMBINADA 2.1/4  CROMO-VANADIUM 002 580 (1B) GEDORE
"Alicate de Pressão 7"" Bico Longo 1058 175 BETA 010580017 BETA"
DISJUNTOR MOTOR 56 - 80A DM280A
PLANNER PERMANENTE ESPIRAL ESTUDOS 84FLS 135008 S.D
"CABO FLEXIVEL 1KV 90G HEPR 4X1,5MM2 PT"
COMPUTADOR SIMATIC IPC527G BOX PC 6AG40250DB304AB0
BOTINA RASP/RELAX ELAST PU BI B/COM PAP PT N44 30B19CPAP - 47225 MARLUVAS 30B19C
SUPORTE SIMATIC RF600 ANTENA 3 VIAS ACO INOX
CORREIAS-PHG S8M-880-50 SKF
CONECTOR INDUSTRIAL 32A 3P 2P+T 110-130V AMARELO 12821518
FILTRO DE LINHA 5T PLASTICOS PTO FLOWPACK 20201005111 FIOLUX
CINTA DE LIXA 40X457X75 3PC 7427555 MTX
LANTERNA P/ BICICLETA VONDER. VONDER
TINTA CHEMICOLOR 250ML U.G.PRETO FOSCO 068.0522
ANEL INTERNO-IR 17X22X16 SKF
QUADRO CHT 01 ESTR TRIANG 3F 380VCA 30CV 25 32A 3CHT0119383
PAPEL HIGIENICO 30M FOLHA SIMPLES PERSONAL C/4RL SANTHER
JOGO PASSATEMPO DOMINO ANTES E DEPOIS 28 PCS 1731.0 XALINGO
CHURRASQUEIRA ELETRICA GOURMET 1200W BCG1 127V BRITANIA
Pino para o Item 3043c 3043C/45 BETA 030430555 BETA
CABECA DE IMPRESSAO HP 11 - C4811A CYAN 8ml
CANETA MARCADOR PERMANENTE UNI PAINT MARKER PX-21 AMARELO UNIBALL
SACO DE LIXO 50L PRETO 5MC C/100 ULTRA PACK
SUPORTE P/ AGENDA PRETO REF-R80 REDOMA
CAFETEIRA EXPRESSO MINI ME VERMELHA/PRETA 127V DOLCE GUSTO
CILINDRO BROTHER DR1060
AVENTAL COM MANGA ( BARBEIRO ) AVB120X60 MELETO
TONER HP CE320AB 128A PRETO
BLOCO ADESIVO 76X76 CUBO DIVERSAO C/270F POST-IT
PASTA SANFONADA PP CHEQUE 31 DIVISORIAS CRISTAL SCE31 PLASCONY
Sapato de Segurança PU com Bico de Aço n° 41 4045BSES2400LL BRACOL 40120086 BRACOL
"ETIQUETA ADESIVA LASER/JET A4 248 17,0x31,0 CX C/25F PIMACO"
OCULOS IBIZA INCOLOR ARMACAO MARROM-011922 KALIPSO
ESTOJO VERDE HULK EI39574AG LUXCEL
Ponta Hexalobular T50 Encaixe 14 mm para Extrator de Parafuso de Campo Dínamo 108514 RAVEN 108514 RAVEN
Botina de Segurança Preta PU com Bico de Aço Nº 43 4045BAAS2400LL BRACOL 40120070 BRACOL
Anilha Cabo Aço 12mm Leve Galvanizada 8020A ROBUR 080200512 ROBUR
GEL ADESIVO APLIK LAVANDA 7G
Tronca Esticador M18 Rosca Direita 8004ND ROBUR 080040018 ROBUR
CHA MATE NATURAL C/15 SAQUINHOS ENVELOPADOS LEAO
TINTA TECIDO FOSCA AZUL TURQUESA 37ML ACRILEX 501
Botão Luminoso Plástico 22mm 1NA 24vca/cc  XA2EW34B1 - SchneiderElectric
