Produto,Marca,Modelo,Categoria
BLOCO LUMINOSO LED BR 24V 3SU14011BB601AA0 SIEMENS,SIEMENS,3SU14011BB601AA0,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
FRONT BOT RED BR 22MM 3SU10000AA600AA0 SIEMENS,SIEMENS,3SU10000AA600AA0,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
"CONECTOR JUMPER PLUGAVEL 50 POLOS 24A POLIAMIDA 5,2MM VM",PHOENIX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
"CONECTOR BORNE PASSAGEM TERRA 2 CONEXOES 2,50MM VD/AM",WEG, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > AUTOMAÇÃO INDUSTRIAL > Outros materiais de Automação Industrial"
GRAMPEADOR GRAMPO 90 ATE 40MM PRO-348 PDR PRO,PDR PRO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > BOMBAS E MOTORES > Chaves e compressores"
"Motor para Roçadeira à Gasolina 2 Tempos 1,7HP 42,7CC RPG 427 MGP 427 VONDER 6805000427 VONDER",VONDER,MGP 427,"MRO: MATERIAL, REPARO E OPERAÇÃO > BOMBAS E MOTORES > Motores"
TERMOMETRO DIGITAL MIRA LASER-MIRA LASER 50~800 C / TERMOPAR 50~500 MT-350A MINIPA. MINIPA,MINIPA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > BOMBAS E MOTORES > Outros componentes bombas e motores"
Adesivo Instantâneo Super Cola Universal 5g 20611003302 TEKBOND 000000069957326446 TEKBOND,TEKBOND,SUPER COLA,"MRO: MATERIAL, REPARO E OPERAÇÃO > ELEMENTOS DE FIXAÇÃO E VEDAÇÃO > Adesivos e fitas"
Adesivo Spray Cola e Descola Reposicionável 300G SPRAY 75 3M HB004539738 3M,3M,SPRAY 75,"MRO: MATERIAL, REPARO E OPERAÇÃO > ELEMENTOS DE FIXAÇÃO E VEDAÇÃO > Adesivos e fitas"
Rebolo Copo Cônico 75mm x 50mm Grão 120 M14 G-120 62114 CORTAG 62114 CORTAG,CORTAG,M14 G-120,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Abrasivos"
Disco de Corte 4.1/2'' VDR02 1207412187 VONDER 1207412187 VONDER,VONDER,VDR12,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Abrasivos"
"Disco Flap 4.1/2"" Grão 120 Fibra de Vidro 2608619909 BOSCH 2608619909000 BOSCH",BOSCH,2608619909,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Abrasivos"
Disco de Lixa para Madeira 5'' Grão 240 5 Peças 2608900809 BOSCH 2608900809000 BOSCH,BOSCH,2608900809 EXPERT,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Abrasivos"
LONA POLIETILENO LARANJA 8 X 5M 6168085000 NOVE54. VONDER,VONDER, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
CINTA DE LIXA 40X457X75 3PC 7427555 MTX,MTX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
RASPADOR DE REJUNTE 200MM LAMINA 50MM TUNGSTENIO 795609 MTX.. MTX,MTX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
1 FOLHA LIXA NORTON FERRO K246 C120 225X275,NORTON, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
"DISCO DE CORTE FINO-METAL / INOX 7POL X 1,6MM 7/8POL DW8065-AR DEWALT",DEWALT, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
"ESCOVA INOX CIRCULAR TRANC 4.1/2"" X 1/2"" X 7/8"" 012327612 CARBOGRAFITE",CARBOGRAFITE,12327612,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
DISCO DESBASTE P/ ACO INOX 7 45100007 TRAMONTINA PRO,TRAMONTINA PRO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
Elemento Filtrante para Filtro MDR-040 Plus EF-0070-M40 METALPLAN EF0070M4 METALPLAN,METALPLAN,EF-0070-M40,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
"BROCA ACO RAPIDO PARA METAL 3,0MM-IRWIN IRWIN",IRWIN, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
Marcador Industrial TraçoForte Branco 3mm Híbrido LWB-0700 M26-BR60-3 BADEN M26-BR60-3 BADEN,BADEN,LWB-0700,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Acessórios e consumíveis para ferramentas"
PISTOLA ALTA PRODUCAO 1000ML CH PP-12 CHIAPERINI. CHIAPERINI,CHIAPERINI, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas automotivas"
TINTA CHEMICOLOR 250ML U.G.PRETO FOSCO 068.0522,CHEMICOLOR, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas automotivas"
MOCOCA FOSFATOL 1L 25192,MOCOCA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas automotivas"
PISTOLA PINTURA C/ CAN PLASTICA SGK600BV DEVILBISS. DEVILBISS,DEVILBISS, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas automotivas"
KIT PRATICO DE REPARO TKTK-6 JEDAL. JEDAL,JEDAL, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas automotivas"
Serra Copo Bimetal 57mm Variavel DCH0214-G STARRETT DCH0214-G STARRETT,STARRETT,DCH0214-G,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
Alargador Manual HSS 20.00mm Canal Helicoidal Din 206B 206200 HEINZ 206200 HEINZ,HEINZ,206200,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Broca Aço Rápido Haste Cônica 3/8"" Din 345 HTOM404 HTOM 38843 HTOM",HTOM,"HTOM404-3/8""","MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
