Produto,Marca,Modelo,Categoria
"Broca para Cerâmica/Azulejo 7,00mm 2608587163 BOSCH 2608587163000 BOSCH",BOSCH,2608587163,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Fresa Topo Esférica Metal Duro 3,00mm 4 Cortes 36976 HT 36976 HT",HT,36976,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Broca Aço Rápido para Metais 5,10mm Din 338 A1222 TITEX 000000000005059493 TITEX",TITEX,A1222-5.1,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Broca Metal Duro 9,80mm Din 6537L TIALN 5xD MD-5D OSG 5015D098E OSG",OSG,MD-5D,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
Broca Centro HSS 4.00mm X 10.00mm Din 333A HT700-4.00 HT 12796 HT,HT,HT700-4.00,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
Broca para Metais 10.30mm DIN 338N Afiação em Cruz 2608577271 BOSCH 2608577271000 BOSCH,BOSCH,2608577271,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
Broca SDS Max 26 x 540 x 400mm para Concreto P-77958 MAKITA P-77958 MAKITA,MAKITA,P-77958,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Fresa Topo Reto Metal Duro 2,00mm 4 Cortes 36900 HT 36900 HT",HT,36900,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
"Fresa Chanfrar 7/16"" Haste 1/4"" com Rolamento 2608628416 BOSCH 2608628416000 BOSCH",BOSCH,2608628416,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de corte e desbaste"
Calibrador de Boca Ajustável sem Relógio com Alavanca de Acionamento 0 a 40mm 132.010D DIGIMESS 87061 DIGIMESS,DIGIMESS,132.010D,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de medição"
"Abraçadeira de Aço Tipo D com Cunha 4"" SDC4Z SUPERA SDC4Z SUPERA",SUPERA,SDC4Z,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas de medição"
"Esmerilhadeira Angular 5"" 2 Baterias 18V Carregador Bivolt e Maleta PTFL-7037K PUMA PTFL-7037K PUMA",PUMA,PTFL-7037K,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
Moto Esmeril e Lixadeira de Cinta 370W 2 em 1 110V MLV 370 6001370127 VONDER 6001370127 VONDER,VONDER,6001370127,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
"Moto Esmeril de Bancada 5"" 1CV Monofásico Bivolt 42400150 TRAMONTINA MASTER 42400150 TRAMONTINA MASTER",TRAMONTINA MASTER,42400/150,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
LIXADEIRA ORBTIAL 1/4 DE FOLHA 240W 127V WS4151U WESCO,WESCO, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
PARAFUSADEIRA/FURADEIRA A CABO GSR 7-14E 127V 06014470D0-000BOSCH. BOSCH,BOSCH, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
COMPRESSOR DE AR 25L 220V CP8525-2C TEKNA. TEKNA,TEKNA, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
"Parafusadeira 1/4"" 701W 110V com Maleta GSR 6-25 TE BOSCH 06014450D0000 BOSCH",BOSCH,06014450D0 GSR 6-25TE,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas elétricas"
FORMAO OLHO DE TIGRE CHAFRADO 3/8 POL 10 MM EMBO 245059 MTX.. MTX,MTX, ,"MRO: MATERIAL, REPARO E OPERAÇÃO > FERRAMENTAS > Ferramentas para construção civil"
