ID Departamento,Departamento,ID Categoria,Categoria,ID subcategoria,Subcategoria
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C748,Ferramentas elétricas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C749,Ferramentas para jardim
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C750,Ferramentas para pintura
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C751,Ferramentas para solda
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C752,Jogos de chave combinada
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C753,Jogos de ferramentas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C754,Jogos de soquetes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S41,FERRAMENTAS,C755,Torquímetro
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S43,MATERIAIS DIVERSOS,C028,Lonas e toldos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S43,MATERIAIS DIVERSOS,C082,Outros materiais MRO
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S43,MATERIAIS DIVERSOS,C772,Adubos e fertilizantes
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C029,"Adaptadores, conexões e terminais"
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C083,Amortecedor
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C135,Atuador pneumático
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C166,Balancin
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C217,Cilindros
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C242,Eletroválvulas
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C268,Engates
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C289,Engates rápidos
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C307,Filtros de água
D03,"MRO: MATERIAL, REPARO E OPERAÇÃO",S46,"MATERIAIS HIDRÁULICOS, PNEUMÁTICOS, FILTROS E VÁLVULAS",C324,Filtros de ar
